timestamp,household_id,num_occupants,house_size_sqft,num_appliances,outside_temp_celsius,heating_type,cooling_type,energy_consumption_kwh,monthly_income,has_solar_panels,smart_meter_installed,weekday,is_weekend,water_heater_type,washing_machine_usage_per_week,internet_connected_devices,avg_daily_usage_hours,notes,occupant_names,manual_override
13/08/2020,1411,2.0,3168.0,14,30.7,Gas,Fan,48.86,113330.0,1,0,Thursday,0,gas,5,11,22.5,,,
04/10/2018,1431,2.0,2238.0,6,,Electrc,Fan,2.19,,1,0,Thursday,0,electric,3,1,7.1, ,,
2021-03-30,1677,4.0,2220.0,7,3.5,None,None,15.19,179557.0,1,0,Tuesday,0,gas,5,11,13.6, ,Ali;Sara,Y
2019-04-05,1158,,2326.0,10,6.2,Gas,ac,7.29,193749.0,1,1,Friday,0,electric,1,1,17.7,,"John, Mary",Y
2021-08-30,1013,,3899.0,20,7.4,Gas,None,44.53,135679.0,0,0,Monday,0,gas,0,7,21.8,normal usage,N/A,Yes
2018-01-22,1372,1.0,,10,17.1,Gas,None,31.44,,0,1,Monday,0,solar,13,8,15.2,peak hours,"John, Mary",
2018-09-10,1224,6.0,,17,38.5,None,Fan,36.89,127962.0,0,0,Monday,0,gas,5,3,13.0,,N/A,N
2020-01-18,1504,2.0,2357.0,8,14.3,Gas,None,14.41,61789.0,1,0,Saturday,1,solar,0,12,5.7,unknown,Unknown,N
2020-05-06,1072,5.0,3265.0,19,,Gas,None,33.94,,1,1,Wednesday,0,electric,9,17,15.5,peak hours,Kumar,
2022-05-04,1248,5.0,2896.0,10,13.9,Gas,None,6.85,90665.0,1,0,Wednesday,0,solar,3,18,11.3,unknown,,
2019-04-20,1510,6.0,3062.0,5,3.4,Gas,Fan,42.38,33474.0,0,1,Saturday,1,electric,5,8,23.9,,"John, Mary",
2020-12-18,1602,,2946.0,13,6.8,Gas,ac,56.99,72781.0,0,0,Friday,0,electric,5,2,16.4,normal usage,Unknown,Yes
2019-05-26,1215,5.0,2761.0,16,7.7,Electrc,None,-4.03,69761.0,1,0,Sunday,1,solar,7,19,9.1,unknown,,Y
2022-09-02,1972,5.0,3109.0,15,13.8,Electrc,None,50.68,88210.0,0,1,Friday,0,electric,11,16,23.9,Check meter,N/A,No
2022-02-08,1601,1.0,1812.0,17,,Gas,ac,28.53,197480.0,1,1,Tuesday,0,electric,10,17,16.2,peak hours,,
2019-12-01,1540,6.0,2364.0,5,8.4,Electrc,ac,35.32,72186.0,0,0,Sunday,1,solar,12,7,19.6,unknown,N/A,Y
02/09/2020,1946,5.0,3830.0,23,22.9,Gas,Fan,24.24,131969.0,0,1,Wednesday,0,electric,0,18,23.4,peak hours,Kumar,Yes
2022-12-12,1816,5.0,2805.0,8,25.5,None,Fan,14.0,53486.0,1,1,Monday,0,solar,0,18,19.3,,Unknown,Yes
09/07/2018,1938,1.0,1911.0,9,,Electrc,ac,55.11,61050.0,1,0,Monday,0,solar,10,1,22.9,,Kumar,
2020-08-15,1987,5.0,2307.0,21,24.2,Gas,ac,20.61,198522.0,0,1,Saturday,1,electric,7,17,11.9,unknown,"John, Mary",No
2019-11-18,1219,1.0,3241.0,9,-4.4,Gas,ac,53.13,186526.0,1,0,Monday,0,gas,12,4,6.0,Check meter,,
2020-08-15,1839,3.0,2068.0,23,-8.6,Gas,Fan,41.99,85772.0,0,1,Saturday,1,solar,4,8,23.3,normal usage,Kumar,Y
2019-07-17,1726,4.0,3836.0,7,,Gas,Fan,26.53,75321.0,0,0,Wednesday,0,electric,4,5,15.4,Check meter,Kumar,
2022-05-10,1220,1.0,3884.0,15,10.8,None,None,55.71,146123.0,1,1,Tuesday,0,electric,9,4,19.7,Check meter,N/A,No
2021-06-21,1388,1.0,1563.0,6,37.0,Gas,ac,29.42,64688.0,1,0,Monday,0,gas,2,6,15.5,,"John, Mary",
2020-04-11,1553,5.0,1497.0,18,14.1,Electrc,None,49.83,160953.0,0,1,Saturday,1,solar,9,13,19.5,Check meter,,No
2022-03-09,1646,1.0,3367.0,10,5.0,None,ac,48.85,140677.0,1,1,Wednesday,0,gas,12,17,6.1,normal usage,Ali;Sara,No
2021-02-28,1041,6.0,2757.0,23,31.9,None,ac,11.09,58199.0,0,0,Sunday,1,solar,9,7,6.3,unknown,,No
2022-02-17,1675,2.0,2819.0,5,21.6,None,ac,18.47,87805.0,1,1,Thursday,0,electric,8,12,22.5,peak hours,Unknown,Yes
2019-10-09,1872,2.0,3707.0,11,30.5,None,ac,27.11,95241.0,0,0,Wednesday,0,solar,9,4,13.3,,Ali;Sara,N
2018-01-21,1282,3.0,1098.0,6,9.1,Electrc,ac,27.43,142829.0,1,1,Sunday,1,electric,7,3,10.7,,Ali;Sara,No
2020-04-20,1057,1.0,1583.0,23,18.6,Gas,ac,36.93,68721.0,1,1,Monday,0,electric,9,14,22.4,unknown,Unknown,Y
2018-06-16,1813,6.0,3586.0,5,6.2,None,Fan,4.4,135943.0,1,0,Saturday,1,gas,11,17,24.0, ,Ali;Sara,Y
2021-07-21,1833,5.0,3570.0,13,-2.5,Electrc,ac,29.37,125729.0,1,1,Wednesday,0,electric,7,8,16.7,peak hours,N/A,
2019-01-23,1536,5.0,2802.0,21,22.4,Electrc,None,38.35,,0,0,Wednesday,0,gas,2,11,15.6,peak hours,Ali;Sara,
2019-08-24,1072,4.0,3284.0,14,,None,None,43.02,51645.0,1,1,Saturday,1,solar,12,12,22.4,normal usage,"John, Mary",N
2018-11-12,1884,3.0,1221.0,10,5.0,None,ac,21.32,186216.0,1,1,Monday,0,solar,10,17,8.4,peak hours,Unknown,Y
2018-01-14,1922,6.0,3082.0,7,1.1,Gas,None,14.74,148438.0,1,0,Sunday,1,electric,8,10,17.0,unknown,Kumar,
2018-08-30,1128,6.0,3806.0,24,16.8,Electrc,None,25.14,66962.0,1,1,Thursday,0,gas,4,9,20.3,peak hours,,
2020-02-16,1598,5.0,1654.0,19,15.6,Electrc,ac,38.22,127839.0,1,1,Sunday,1,gas,0,4,19.0,Check meter,N/A,
2021-10-01,1841,4.0,2208.0,24,10.2,None,Fan,12.06,43616.0,1,0,Friday,0,electric,1,5,19.2, ,,No
2019-07-19,1425,5.0,3571.0,10,8.3,Gas,None,25.87,127162.0,1,1,Friday,0,gas,11,5,20.3,unknown,Ali;Sara,
2020-06-16,1947,4.0,516.0,7,22.7,Gas,ac,23.27,88744.0,0,1,Tuesday,0,solar,6,16,9.0,normal usage,,No
2021-09-25,1664,2.0,3429.0,14,-9.8,Electrc,Fan,6.99,63987.0,0,0,Saturday,1,gas,12,13,15.6,,,Y
02/04/2018,1693,6.0,3501.0,16,21.3,None,Fan,6.3,73082.0,0,0,Monday,0,solar,0,2,7.1,normal usage,N/A,
2021-10-22,1124,2.0,3373.0,5,,Gas,ac,52.36,,1,1,Friday,0,gas,1,18,6.7,,,N
2020-08-13,1066,5.0,1491.0,20,2.7,Gas,ac,42.2,32450.0,1,0,Thursday,0,solar,4,5,20.5,,Unknown,
2022-01-18,1005,3.0,1377.0,21,-4.3,Gas,None,45.18,174272.0,0,0,Tuesday,0,electric,4,5,20.4,Check meter,,No
2021-12-22,1636,1.0,2732.0,14,20.9,None,ac,24.92,31660.0,0,0,Wednesday,0,solar,5,17,8.5,peak hours,"John, Mary",Yes
2019-05-24,1313,3.0,3962.0,16,,None,None,32.22,160109.0,0,0,Friday,0,solar,5,9,15.7, ,"John, Mary",N
2020-02-15,1325,3.0,1946.0,23,,Gas,ac,38.62,,0,0,Saturday,1,solar,13,2,5.7,,,No
2018-02-04,1564,1.0,1965.0,12,36.2,None,ac,53.65,102944.0,1,1,Sunday,1,electric,10,18,12.0,,Kumar,Y
2018-07-25,1577,6.0,2178.0,12,19.3,None,ac,35.88,167270.0,1,1,Wednesday,0,electric,14,8,7.8,,N/A,
2021-01-09,1825,2.0,3583.0,14,14.0,Electrc,Fan,19.97,122318.0,1,1,Saturday,1,gas,14,12,12.1,peak hours,Unknown,Y
2022-05-05,1505,,2043.0,14,12.8,Gas,ac,39.94,130048.0,0,1,Thursday,0,electric,12,6,16.0,peak hours,,No
2021-11-12,1081,6.0,579.0,22,-2.1,None,ac,-12.53,88597.0,0,0,Friday,0,solar,14,13,20.3,Check meter,"John, Mary",N
2020-10-22,1598,1.0,3356.0,14,12.1,Electrc,None,16.71,102790.0,0,1,Thursday,0,solar,8,11,14.8, ,,Yes
2020-10-18,1001,4.0,2849.0,11,,None,ac,31.58,,1,0,Sunday,1,electric,11,8,22.7,,,Y
2021-11-14,1203,3.0,3787.0,8,8.6,Gas,Fan,39.67,151763.0,1,1,Sunday,1,gas,6,19,6.9,,Unknown,Y
2019-07-20,1661,5.0,,5,18.9,Gas,None,40.43,142093.0,0,1,Saturday,1,solar,7,14,15.2,normal usage,"John, Mary",
2021-02-03,1804,2.0,2064.0,15,16.3,None,ac,24.02,199316.0,1,1,Wednesday,0,solar,4,14,22.2,,"John, Mary",N
2022-12-01,1403,6.0,1795.0,23,22.9,Gas,ac,28.02,160635.0,1,0,Thursday,0,solar,8,12,9.5,,Kumar,Yes
2022-02-09,1102,5.0,2680.0,9,10.6,Electrc,None,25.09,138790.0,0,0,Wednesday,0,gas,1,16,19.6,unknown,,No
04/12/2019,1535,1.0,1528.0,12,21.0,Electrc,Fan,40.34,62099.0,1,0,Wednesday,0,electric,6,18,9.8,unknown,N/A,Y
2019-02-06,1367,5.0,3303.0,6,15.1,None,ac,37.97,57335.0,1,1,Wednesday,0,solar,1,3,23.6,Check meter,Ali;Sara,
2019-12-31,1211,5.0,2065.0,6,21.0,Electrc,Fan,28.58,,0,1,Tuesday,0,solar,7,17,19.4,,Kumar,N
2022-04-29,1576,3.0,,18,14.2,Electrc,None,20.49,147511.0,0,0,Friday,0,electric,12,7,17.4,peak hours,,Yes
2018-06-11,1960,1.0,2213.0,13,32.8,Electrc,Fan,35.84,96378.0,1,0,Monday,0,gas,11,10,21.6,,N/A,Y
2018-07-21,1208,5.0,1509.0,14,-9.4,None,None,31.44,133190.0,0,1,Saturday,1,electric,4,5,16.2,,N/A,N
2020-09-22,1762,2.0,1272.0,17,21.3,None,ac,52.62,145122.0,1,0,Tuesday,0,electric,10,9,10.6,,Unknown,
2018-09-27,1896,1.0,,5,23.6,Gas,None,29.28,155371.0,0,0,Thursday,0,gas,7,2,11.0,,N/A,Yes
2020-03-26,1116,,982.0,18,,Electrc,Fan,26.77,25288.0,1,1,Thursday,0,electric,4,16,16.2,,N/A,No
2021-07-18,1627,6.0,3876.0,6,33.2,None,None,17.55,50876.0,1,1,Sunday,1,gas,14,5,15.0,Check meter,Ali;Sara,
2019-04-01,1748,6.0,2892.0,8,15.2,Gas,ac,52.91,34023.0,1,0,Monday,0,electric,2,8,22.3,unknown,"John, Mary",Y
2022-01-25,1477,,,23,13.8,Gas,None,31.24,121321.0,0,0,Tuesday,0,gas,2,8,15.3,unknown,Kumar,
2022-10-17,1104,6.0,3841.0,5,18.7,None,ac,33.6,86440.0,0,0,Monday,0,electric,5,15,14.7,unknown,"John, Mary",N
29/06/2021,1494,5.0,,8,23.9,None,ac,55.66,102409.0,0,1,Tuesday,0,electric,10,18,13.5,Check meter,Ali;Sara,No
13/10/2020,1770,1.0,2081.0,15,16.3,Electrc,None,47.43,112665.0,1,0,Tuesday,0,electric,6,12,7.4,,Ali;Sara,N
2022-09-22,1045,6.0,3021.0,17,16.0,Gas,Fan,9.23,23854.0,0,1,Thursday,0,electric,10,16,7.3, ,,
2018-10-23,1822,2.0,1605.0,22,23.4,Gas,ac,48.01,155171.0,0,0,Tuesday,0,electric,6,6,17.7,,,Y
2022-10-15,1330,5.0,1607.0,14,24.7,None,Fan,47.4,100532.0,1,0,Saturday,1,gas,2,3,13.7,unknown,,
2019-12-21,1215,6.0,3861.0,9,,Electrc,Fan,3.81,,1,1,Saturday,1,solar,1,18,15.4,,Ali;Sara,
2022-11-08,1981,3.0,3642.0,5,-0.5,None,None,52.69,151975.0,1,1,Tuesday,0,gas,14,2,22.6,unknown,,Yes
2018-12-04,1959,2.0,674.0,18,4.8,None,None,21.32,197798.0,0,1,Tuesday,0,solar,4,18,19.9,normal usage,,Yes
2020-05-28,1491,2.0,2351.0,20,25.8,None,Fan,41.37,98957.0,1,1,Thursday,0,solar,12,3,12.2,,,Yes
2020-12-12,1812,4.0,1341.0,22,12.2,Electrc,None,22.29,189157.0,1,0,Saturday,1,electric,2,7,19.8,,,No
2020-03-02,1921,3.0,2372.0,7,9.0,Gas,Fan,64.1,63981.0,0,0,Monday,0,electric,6,2,23.5,normal usage,Ali;Sara,
05/08/2018,1844,4.0,3966.0,7,19.4,None,None,33.13,182223.0,0,1,Sunday,1,electric,10,13,8.1,peak hours,,No
2020-02-03,1448,6.0,3413.0,8,18.2,None,None,43.57,87635.0,1,1,Monday,0,gas,10,8,22.0,,"John, Mary",Y
2018-07-07,1535,3.0,3662.0,11,12.8,Gas,ac,32.33,123836.0,1,0,Saturday,1,solar,14,5,11.7, ,Unknown,
2019-01-15,1510,2.0,3016.0,17,22.4,None,Fan,14.23,117438.0,0,0,Tuesday,0,gas,12,2,19.0,Check meter,Unknown,
2019-05-08,1457,4.0,2386.0,13,2.3,None,ac,28.71,129911.0,0,1,Wednesday,0,electric,2,17,17.9,normal usage,N/A,No
2020-11-30,1546,5.0,3820.0,7,-2.3,None,None,8.92,,1,1,Monday,0,solar,7,16,18.4,Check meter,Unknown,
2021-03-26,1535,3.0,3191.0,21,30.0,Gas,None,34.45,39607.0,1,0,Friday,0,gas,6,15,21.9,Check meter,"John, Mary",Yes
2018-01-15,1539,2.0,3228.0,19,3.8,Gas,None,26.89,99023.0,1,0,Monday,0,gas,10,13,17.0,unknown,Ali;Sara,N
2018-03-06,1483,1.0,,14,,Electrc,Fan,9.17,64834.0,0,0,Tuesday,0,gas,7,16,8.6,normal usage,,No
05/06/2019,1975,3.0,,19,11.7,Gas,Fan,23.21,132501.0,1,1,Wednesday,0,electric,11,10,17.7,,Unknown,Yes
2021-09-29,1999,3.0,3396.0,5,14.7,None,None,13.75,185400.0,0,1,Wednesday,0,electric,12,4,11.4,Check meter,Unknown,Y
2021-02-26,1015,6.0,,14,10.2,None,None,23.13,130775.0,0,1,Friday,0,solar,11,12,23.1,,,Yes
2019-10-10,1570,5.0,3249.0,11,12.7,Gas,None,27.74,112518.0,0,0,Thursday,0,solar,0,15,11.0,Check meter,,N
2022-02-04,1976,6.0,839.0,11,0.8,Gas,ac,40.89,199446.0,1,0,Friday,0,solar,11,11,9.6,normal usage,N/A,
2020-12-22,1242,3.0,3340.0,7,22.1,None,None,16.83,75240.0,1,1,Tuesday,0,gas,6,11,5.3, ,N/A,No
2021-03-08,1949,3.0,1243.0,11,-0.3,Electrc,ac,17.65,189090.0,0,1,Monday,0,solar,3,17,21.4,unknown,N/A,N
2022-03-03,1206,5.0,1994.0,13,15.2,None,ac,35.11,148888.0,0,1,Thursday,0,electric,8,1,22.4, ,N/A,N
2019-08-16,1911,5.0,3010.0,12,17.3,Electrc,ac,30.92,21033.0,0,1,Friday,0,electric,3,12,6.3,,Ali;Sara,Y
2019-01-27,1270,4.0,3348.0,7,21.5,Gas,Fan,41.27,128721.0,0,1,Sunday,1,electric,3,18,12.9,,,N
2022-08-26,1760,2.0,3846.0,9,17.3,Gas,ac,26.92,137244.0,1,0,Friday,0,gas,2,3,13.0,unknown,"John, Mary",
2019-02-23,1993,2.0,2348.0,17,4.1,Gas,None,38.27,146077.0,0,0,Saturday,1,gas,0,14,20.2,Check meter,N/A,N
2018-10-16,1778,4.0,514.0,17,10.9,Gas,ac,-13.5,,1,0,Tuesday,0,gas,2,3,11.5,Check meter,Unknown,
2019-01-14,1704,2.0,3612.0,12,8.0,Gas,ac,18.99,25806.0,1,1,Monday,0,electric,9,3,11.5,normal usage,N/A,No
2022-12-02,1846,3.0,2488.0,22,-0.7,Electrc,Fan,30.5,,0,1,Friday,0,electric,4,17,11.3,unknown,Unknown,
22/02/2022,1729,4.0,,11,19.4,None,ac,28.36,100950.0,0,0,Tuesday,0,electric,11,7,13.2,Check meter,,Yes
2018-08-19,1114,4.0,,14,7.4,Gas,ac,32.18,152039.0,0,1,Sunday,1,solar,9,5,17.2,,Unknown,
2020-10-14,1579,,2912.0,14,16.5,Electrc,ac,43.2,190543.0,0,1,Wednesday,0,solar,0,7,23.4,Check meter,Unknown,No
2018-02-10,1298,1.0,3811.0,15,13.9,Electrc,ac,22.1,146002.0,0,0,Saturday,1,electric,1,3,15.0,peak hours,Kumar,
2020-11-17,1836,2.0,3155.0,16,3.6,None,Fan,34.51,,0,1,Tuesday,0,gas,0,17,12.4,normal usage,N/A,
2018-05-15,1482,6.0,2707.0,17,3.0,Electrc,Fan,26.5,63853.0,1,1,Tuesday,0,solar,7,16,5.3, ,Kumar,No
2018-07-20,1396,1.0,896.0,12,11.6,Gas,None,36.98,181114.0,1,1,Friday,0,solar,8,18,8.0,,,No
2020-02-19,1393,4.0,2457.0,21,1.9,Electrc,None,37.34,96719.0,0,0,Wednesday,0,electric,6,10,23.0,,"John, Mary",N
2020-07-18,1074,1.0,1293.0,18,24.9,Gas,ac,13.49,181152.0,1,0,Saturday,1,gas,0,7,9.9, ,,Yes
2020-11-22,1977,3.0,3047.0,21,28.4,Gas,Fan,35.16,77318.0,1,1,Sunday,1,electric,3,4,8.8,peak hours,Unknown,
2020-12-07,1481,5.0,708.0,23,22.8,Gas,ac,38.89,106365.0,0,0,Monday,0,electric,7,3,8.3,,Ali;Sara,N
18/05/2019,1102,1.0,1656.0,20,18.5,Electrc,ac,32.2,40990.0,0,0,Saturday,1,gas,8,14,16.2,normal usage,N/A,
11/02/2019,1296,6.0,3952.0,13,15.6,Electrc,ac,35.63,38782.0,0,1,Monday,0,electric,3,6,12.5,,Ali;Sara,Yes
2022-05-17,1177,5.0,932.0,24,4.5,None,ac,32.49,37931.0,0,0,Tuesday,0,solar,1,1,16.1,unknown,Kumar,Yes
2022-10-18,1214,3.0,3156.0,14,23.3,None,Fan,18.3,146567.0,0,0,Tuesday,0,gas,1,3,23.5,unknown,Ali;Sara,
2020-03-15,1966,6.0,,13,28.7,None,None,23.0,127174.0,0,1,Sunday,1,solar,3,9,6.4,peak hours,N/A,Y
2018-04-09,1314,5.0,2936.0,5,11.6,None,None,32.54,,1,0,Monday,0,electric,7,4,7.6,unknown,,Yes
2019-11-15,1038,3.0,3544.0,7,14.6,Gas,None,28.81,104683.0,1,0,Friday,0,gas,5,5,15.9,,,No
27/12/2019,1258,5.0,1082.0,15,6.9,None,None,20.1,104396.0,0,1,Friday,0,solar,9,14,8.1,,Ali;Sara,Yes
2022-04-20,1715,5.0,931.0,11,11.7,None,Fan,19.66,116151.0,0,1,Wednesday,0,solar,7,3,17.6,,"John, Mary",N
2020-08-18,1006,,1797.0,22,2.4,Gas,Fan,28.97,68019.0,0,1,Tuesday,0,solar,10,8,20.5,,N/A,N
2022-10-29,1048,6.0,850.0,17,12.1,Gas,ac,9.1,167978.0,0,0,Saturday,1,gas,1,9,18.8,Check meter,Ali;Sara,No
2019-09-05,1537,6.0,633.0,22,19.3,Gas,ac,22.55,,0,1,Thursday,0,solar,14,13,11.0,Check meter,Kumar,N
2022-01-25,1160,1.0,,20,18.3,Electrc,ac,48.68,151815.0,0,1,Tuesday,0,gas,2,11,20.9,normal usage,Kumar,N
2019-10-05,1868,6.0,1138.0,20,17.5,None,Fan,34.07,183859.0,1,1,Saturday,1,solar,9,18,14.7, ,Ali;Sara,
2022-11-28,1175,6.0,1728.0,14,,Gas,None,23.23,28132.0,0,0,Monday,0,gas,5,19,19.9, ,"John, Mary",N
2020-10-25,1590,5.0,3869.0,13,15.5,None,ac,23.15,93662.0,0,0,Sunday,1,solar,9,12,23.3,normal usage,,N
2021-05-26,1001,,616.0,12,21.1,Electrc,Fan,66.07,35731.0,1,1,Wednesday,0,gas,0,6,13.8,,Unknown,N
2019-05-18,1894,2.0,1790.0,23,14.9,None,None,29.49,158553.0,0,0,Saturday,1,electric,13,8,13.8,peak hours,,
2020-02-06,1454,1.0,2317.0,7,26.4,None,Fan,38.06,65863.0,1,0,Thursday,0,gas,5,3,9.7,peak hours,Ali;Sara,
2019-02-02,1927,2.0,2696.0,13,14.0,Electrc,Fan,19.17,83238.0,1,1,Saturday,1,gas,10,15,7.3,unknown,N/A,Y
2020-05-20,1643,1.0,,6,19.0,None,Fan,37.38,166261.0,0,1,Wednesday,0,solar,5,17,19.0,,,
2020-03-05,1275,3.0,2203.0,23,5.0,Electrc,None,9.38,123844.0,0,1,Thursday,0,solar,11,14,19.2,normal usage,Unknown,N
2019-01-28,1497,,2347.0,12,20.9,Gas,None,24.02,197919.0,1,1,Monday,0,electric,0,9,14.4,,N/A,
2018-07-26,1628,6.0,2726.0,22,22.9,Electrc,ac,25.68,31240.0,0,0,Thursday,0,electric,13,11,19.4,,,Yes
04/11/2020,1675,6.0,2695.0,12,7.9,Gas,None,-2.34,133052.0,0,1,Wednesday,0,solar,13,3,9.6,unknown,N/A,
2022-04-27,1799,4.0,964.0,9,0.7,None,None,37.0,30315.0,0,0,Wednesday,0,electric,2,9,5.1,,Unknown,
2020-06-10,1027,,1475.0,10,10.5,Electrc,Fan,22.49,172924.0,0,0,Wednesday,0,electric,0,3,5.6,normal usage,Unknown,Yes
2022-01-24,1332,2.0,3116.0,14,5.0,Gas,None,42.32,141251.0,0,0,Monday,0,electric,12,18,15.6,,"John, Mary",
2022-09-11,1000,2.0,2525.0,19,21.0,None,Fan,26.15,169141.0,0,0,Sunday,1,gas,5,19,6.0,unknown,,Y
2022-05-18,1187,6.0,1528.0,8,10.1,None,None,15.36,156632.0,1,0,Wednesday,0,gas,8,4,20.8,normal usage,"John, Mary",
2020-05-13,1055,2.0,1025.0,7,22.2,None,Fan,37.91,90741.0,0,1,Wednesday,0,electric,5,6,18.6,peak hours,N/A,Y
2020-01-13,1546,5.0,2827.0,13,-0.6,Gas,ac,27.94,75841.0,1,0,Monday,0,electric,14,9,21.6,unknown,,Yes
2021-06-18,1111,1.0,3046.0,20,6.7,Gas,ac,30.61,87016.0,1,1,Friday,0,solar,11,12,18.1,Check meter,N/A,Yes
2019-07-18,1797,6.0,1335.0,20,7.4,Gas,ac,37.78,60549.0,0,0,Thursday,0,electric,12,2,6.2, ,"John, Mary",Y
2020-10-17,1309,5.0,2983.0,19,17.8,Electrc,ac,33.24,,0,1,Saturday,1,electric,11,9,11.1,unknown,,N
2018-04-06,1035,3.0,3363.0,13,-5.8,Gas,ac,20.49,133458.0,1,1,Friday,0,electric,13,10,11.8,normal usage,"John, Mary",
24/10/2022,1438,,1739.0,21,,None,Fan,4.45,128059.0,0,1,Monday,0,gas,14,12,16.0,peak hours,,No
2019-04-30,1728,5.0,3234.0,16,11.4,None,ac,15.72,61181.0,1,1,Tuesday,0,solar,11,5,23.3,,N/A,
2021-12-01,1591,3.0,3375.0,12,18.6,Electrc,ac,27.22,142648.0,1,0,Wednesday,0,electric,10,2,19.6,peak hours,,Y
2018-08-19,1825,5.0,3516.0,18,,Electrc,None,29.64,101105.0,0,1,Sunday,1,solar,5,12,9.8,unknown,Unknown,No
2020-01-19,1594,1.0,2038.0,22,,Electrc,None,51.68,78803.0,0,1,Sunday,1,gas,14,7,6.9,Check meter,Unknown,Yes
